0	0
1	1
2	0
5	1
6	1
8	1
10	1
12	1
14	1
15	0
17	1
18	1
20	0
21	0
22	1
27	1
30	0
31	1
34	0
35	1
37	1
38	1
39	1
40	1
45	0
46	0
48	0
49	0
50	1
51	1
52	1
54	0
55	1
60	1
62	0
64	1
65	0
66	0
68	1
71	1
74	0
75	0
76	1
77	1
78	0
79	0
81	0
85	1
89	1
90	0
92	1
96	0
97	1
100	0
101	0
102	1
103	0
104	1
105	1
107	0
108	0
109	0
113	0
116	0
118	0
122	0
124	1
127	1
132	1
133	0
140	1
141	1
142	0
144	1
145	1
150	0
154	0
155	1
156	1
157	1
158	0
159	0
161	1
162	1
165	0
167	1
170	0
171	1
172	0
173	0
175	1
178	1
179	0
181	0
185	1
187	1
188	1
190	1
193	1
194	1
196	0
198	0
200	0
202	1
204	0
205	1
206	1
208	0
210	1
211	1
214	1
215	0
218	0
220	1
222	1
223	0
229	0
230	0
231	0
233	1
235	1
236	1
238	0
239	1
240	0
241	0
242	1
243	1
245	0
247	0
249	1
250	0
251	1
252	0
253	0
255	1
258	0
261	1
262	0
263	0
264	1
266	1
267	1
268	0
270	0
271	1
272	1
278	0
279	1
283	1
285	1
293	0
294	0
298	0
299	1
301	1
302	0
303	1
304	0
306	1
308	1
309	0
310	1
311	0
312	1
313	0
315	1
316	0
317	0
318	1
319	1
320	0
327	1
331	1
333	1
334	0
337	0
338	0
342	1
344	1
345	1
346	1
350	1
351	1
352	1
354	1
356	1
358	0
361	1
362	0
363	1
364	1
366	0
367	1
372	0
374	0
375	0
378	0
379	0
380	1
382	0
384	1
386	1
389	0
390	1
391	0
392	0
395	0
397	1
399	0
401	0
402	1
403	0
406	0
408	1
409	1
412	0
413	1
416	1
418	0
420	1
422	0
424	0
425	1
428	1
432	0
434	0
436	1
439	0
440	0
441	1
443	1
447	1
451	1
452	1
453	1
456	0
457	1
458	1
460	1
462	0
465	1
467	1
471	0
474	1
475	1
476	0
477	0
479	1
481	0
482	1
483	1
484	1
485	0
487	0
489	0
491	1
492	1
493	0
494	0
495	0
496	0
500	0
501	1
503	1
505	1
506	0
511	1
513	1
516	1
518	1
519	1
520	1
521	1
522	0
523	1
524	0
526	0
527	1
529	1
530	0
531	0
532	1
533	1
535	0
538	1
542	1
545	0
549	0
553	1
557	1
558	0
561	0
563	0
564	1
566	0
567	0
570	0
572	1
573	1
578	0
580	1
583	1
585	0
587	1
588	1
592	1
596	1
597	1
603	1
609	0
612	0
614	1
615	1
618	1
619	0
620	0
625	0
626	1
627	1
631	0
632	1
634	1
635	1
638	1
642	0
643	1
644	0
646	1
647	1
648	1
650	1
652	0
653	0
654	0
655	0
656	0
657	1
658	1
666	0
669	0
671	1
672	0
674	1
676	0
678	0
680	1
681	0
683	1
686	1
688	0
693	0
694	0
695	0
698	0
700	1
701	0
704	0
706	0
708	1
710	0
712	1
713	0
715	1
718	1
720	0
722	1
724	1
725	0
726	1
727	0
728	1
731	0
735	1
738	0
740	1
742	1
744	1
750	0
752	1
753	0
760	1
761	1
762	0
764	1
766	0
768	1
769	1
771	1
778	1
780	0
782	0
784	0
785	0
786	0
787	0
788	1
796	0
799	0
800	0
803	0
806	0
807	0
808	1
810	0
811	1
813	0
815	1
816	1
817	1
818	0
819	1
820	1
822	0
823	0
825	0
827	0
832	0
833	1
837	0
838	1
839	0
841	0
843	1
848	1
851	1
852	0
857	1
859	0
862	0
864	0
866	0
870	0
875	1
876	0
877	1
878	1
880	1
881	1
882	0
883	1
885	1
886	1
887	1
889	1
890	0
